TKM,Turkmenistan,4459000
TMP,East Timor,885000
TON,Tonga,99000
TTO,Trinidad and Tobago,1295000
TUN,Tunisia,9586000
TUR,Turkey,66591000
TUV,Tuvalu,12000
TWN,Taiwan,22256000
TZA,Tanzania,33517000
UGA,Uganda,21778000
UKR,Ukraine,50456000
UMI,United States Minor Outlying Islands,0
URY,Uruguay,3337000
USA,United States,278357000
UZB,Uzbekistan,24318000
VAT,Holy See (Vatican City State),1000
VCT,Saint Vincent and the Grenadines,114000
VEN,Venezuela,24170000
VGB,"Virgin Islands, British",21000
VIR,"Virgin Islands, U.S.",93000
VNM,Vietnam,79832000
VUT,Vanuatu,190000
WLF,Wallis and Futuna,15000
WSM,Samoa,180000
YEM,Yemen,18112000
YUG,Yugoslavia,10640000
ZAF,South Africa,40377000
ZMB,Zambia,9169000
ZWE,Zimbabwe,11669000
